City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Plaridel,PH,14.8872,120.8572,78.85,68,100,14.92,overcast clouds
235,Viru,PE,-8.4167,-78.75,67.3,58,10,10.85,clear sky
236,Jumla,NP,29.2747,82.1838,24.49,64,1,5.32,clear sky
237,Eyl,SO,7.9803,49.8164,73.08,72,24,10.54,few clouds
238,Henties Bay,NA,-22.116,14.2845,66.85,81,14,5.28,few clouds
239,Urucui,BR,-7.2294,-44.5561,81.73,74,75,5.37,broken clouds
240,Inhambane,MZ,-23.865,35.3833,78.3,72,8,16.49,clear sky
241,Lithgow,AU,-33.4833,150.15,56.08,92,99,11.81,overcast clouds
242,Potosi,BO,-19.5836,-65.7531,54.7,52,100,8.01,overcast clouds
243,Uvat,RU,59.1433,68.8953,19.72,94,100,4.27,overcast clouds
244,Taguatinga,BR,-12.3857,-46.5711,75.63,86,86,3.53,overcast clouds
245,Mbigou,GA,-1.9005,11.906,68.0,96,10,3.11,clear sky
246,Dongsheng,CN,39.8161,109.9776,12.11,47,64,4.23,broken clouds
247,Jizan,SA,17.3333,42.6667,75.06,58,0,7.78,clear sky
248,Fort Nelson,CA,58.8053,-122.7002,24.28,93,100,2.64,overcast clouds
249,Wanning,CN,18.8003,110.3967,65.12,86,88,8.7,overcast clouds
250,Antalaha,MG,-14.9003,50.2788,76.33,82,100,4.05,light rain
251,Geraldton,AU,-28.7667,114.6,73.81,88,100,5.75,overcast clouds
252,Rodrigues Alves,BR,-7.738,-72.6509,84.22,65,51,6.04,broken clouds
253,General Pico,AR,-35.6566,-63.7568,73.35,31,74,16.73,broken clouds
254,Iwanai,JP,42.9744,140.5089,24.19,84,100,8.32,light snow
255,Kruisfontein,ZA,-34.0033,24.7314,67.89,82,36,15.88,scattered clouds
256,North Platte,US,41.1239,-100.7654,57.09,23,0,8.05,clear sky
257,Yarada,IN,17.65,83.2667,68.32,88,20,2.3,mist
258,Berezovyy,RU,51.6667,135.7,3.09,98,100,1.79,overcast clouds
259,Vestmanna,FO,62.1564,-7.1664,31.12,93,100,55.23,snow
260,Waipawa,NZ,-41.4122,175.5153,55.45,96,100,15.39,light rain
261,Venkatagiri,IN,13.9667,79.5833,71.4,94,100,2.08,overcast clouds
262,Westport,US,41.1415,-73.3579,28.74,58,20,4.0,few clouds
263,Xining,CN,36.6167,101.7667,11.73,91,100,1.63,overcast clouds
264,Nara,JP,34.6851,135.8049,38.48,62,26,11.3,scattered clouds
265,Sri Aman,MY,1.2376,111.4621,73.62,99,100,1.03,heavy intensity rain
266,Victoria,HK,22.2855,114.1577,60.24,83,100,3.0,overcast clouds
267,Pandan,PH,14.0453,124.1694,77.04,78,99,16.71,overcast clouds
268,Kidal,ML,18.4411,1.4078,64.89,13,0,9.82,clear sky
269,Sola,VU,-13.8833,167.55,82.26,79,100,19.13,overcast clouds
270,Guerrero Negro,MX,27.9769,-114.0611,69.46,20,0,3.62,clear sky
271,Kedougou,SN,12.5579,-12.1743,84.45,10,0,4.5,clear sky
272,Jiuquan,CN,39.7432,98.5174,15.93,40,100,4.16,overcast clouds
273,Tazovskiy,RU,67.4667,78.7,-12.66,100,88,7.58,overcast clouds
274,At-Bashi,KG,41.1702,75.8106,1.83,61,99,2.57,overcast clouds
275,Kwinana,AU,-32.25,115.7667,73.18,86,4,4.76,clear sky
276,Sinnamary,GF,5.3833,-52.95,78.01,84,63,10.69,broken clouds
277,Humaita,BR,-7.5061,-63.0208,81.07,76,100,4.43,overcast clouds
278,Chuy,UY,-33.6971,-53.4616,70.65,81,84,6.11,broken clouds
279,Fukue,JP,32.6881,128.8419,42.35,59,100,28.01,overcast clouds
280,Hays,US,30.0502,-98.0336,52.14,41,0,3.85,clear sky
281,Banamba,ML,13.55,-7.45,73.56,10,0,8.99,clear sky
282,Honningsvag,NO,70.9821,25.9704,29.03,71,41,30.65,scattered clouds
283,Buala,SB,-8.145,159.5921,82.31,82,97,7.09,overcast clouds
284,Havoysund,NO,70.9963,24.6622,29.28,71,46,34.05,scattered clouds
285,Port Lincoln,AU,-34.7333,135.8667,69.31,72,98,16.64,overcast clouds
286,Umm Lajj,SA,25.0213,37.2685,63.25,61,0,13.15,clear sky
287,Korla,CN,41.7597,86.1469,23.47,42,85,8.93,overcast clouds
288,Naryan-Mar,RU,67.6713,53.087,-1.08,96,96,11.72,overcast clouds
289,Eenhana,NA,-17.4667,16.3333,64.83,88,100,12.15,light rain
290,Hornepayne,CA,49.2138,-84.7705,9.16,67,100,4.81,overcast clouds
291,Bandarban,BD,22.1965,92.2262,55.2,98,25,2.51,scattered clouds
292,Ponta Do Sol,PT,32.6667,-17.1,67.01,45,3,11.14,clear sky
293,Kolobrzeg,PL,54.1757,15.5834,40.96,72,100,25.86,light rain
294,Beloha,MG,-25.1667,45.05,75.31,83,100,19.98,overcast clouds
295,Woodland,US,38.6785,-121.7733,68.68,48,40,3.0,scattered clouds
296,Udimskiy,RU,61.1417,45.9144,0.57,98,66,4.99,broken clouds
297,La Ronge,CA,55.1001,-105.2842,0.55,91,100,4.43,light snow
298,Piney Green,US,34.716,-77.3202,48.92,34,0,12.66,clear sky
299,Tanabe,JP,33.7333,135.3667,38.93,47,100,5.99,overcast clouds
300,Novopokrovka,UA,49.8425,36.5477,23.38,95,100,9.04,snow
301,Ilulissat,GL,69.2167,-51.1,5.02,51,75,14.97,broken clouds
302,Baruun-Urt,MN,46.6806,113.2792,-2.15,90,10,6.02,clear sky
303,Gamba,GA,-2.65,10.0,76.5,86,38,4.12,scattered clouds
304,East London,ZA,-33.0153,27.9116,69.31,88,100,17.38,light rain
305,Saint George,US,37.1041,-113.5841,59.47,18,0,1.99,clear sky
306,Necochea,AR,-38.5473,-58.7368,62.04,70,100,20.89,overcast clouds
307,Porto Santo,PT,33.072,-16.3415,66.31,88,20,14.97,few clouds
308,Takoradi,GH,4.8845,-1.7554,80.53,84,17,8.97,few clouds
309,Coahuayana,MX,18.7333,-103.6833,90.88,43,18,6.76,few clouds
310,Port Hardy,CA,50.6996,-127.4199,44.6,85,100,6.67,overcast clouds
311,Escobal,PA,9.1472,-79.9619,91.99,55,5,10.83,clear sky
312,Kloulklubed,PW,7.0419,134.2556,81.1,80,97,22.73,overcast clouds
313,Ahuimanu,US,21.4447,-157.8378,82.11,75,75,5.01,light rain
314,Airai,TL,-8.9266,125.4092,60.46,91,95,1.83,overcast clouds
315,Novoanninskiy,RU,50.5287,42.6747,-0.24,100,55,5.97,broken clouds
316,Samarai,PG,-10.6167,150.6667,80.49,80,100,8.48,light rain
317,Talnakh,RU,69.4865,88.3972,-18.62,100,100,2.59,overcast clouds
318,Emerald,AU,-23.5333,148.1667,70.34,63,0,16.67,clear sky
319,Elhovo,BG,42.1667,26.5667,45.66,88,49,2.59,scattered clouds
320,Linjiang,CN,41.8069,126.9078,2.48,99,94,0.38,overcast clouds
321,Dudinka,RU,69.4058,86.1778,-19.89,100,94,2.8,overcast clouds
322,Sovetskiy,RU,61.3614,63.5842,12.78,95,94,6.44,overcast clouds
323,Suntar,RU,62.1444,117.6319,-10.89,100,96,3.89,overcast clouds
324,Ipixuna,BR,-1.7625,-48.8043,82.35,96,100,4.7,moderate rain
325,Trincomalee,LK,8.5711,81.2335,78.39,72,69,12.57,broken clouds
326,Road Town,VG,18.4167,-64.6167,73.49,100,20,14.97,few clouds
327,Zhigansk,RU,66.7697,123.3711,-27.26,99,100,5.86,overcast clouds
328,San Patricio,US,28.017,-97.5169,54.18,28,0,4.16,clear sky
329,Boromlya,UA,50.6184,34.9704,24.78,96,100,12.06,snow
330,Gazanjyk,TM,39.2446,55.5154,41.74,81,99,14.92,overcast clouds
331,Kosum Phisai,TH,16.2486,103.0674,68.18,65,65,8.79,broken clouds
332,Sitka,US,57.0531,-135.33,44.49,65,100,16.11,light rain
333,Saint-Joseph,RE,-21.3667,55.6167,82.78,83,100,15.12,light rain
334,Bhimunipatnam,IN,17.8833,83.4333,67.51,64,62,5.37,broken clouds
335,Vardo,NO,70.3705,31.1107,26.76,78,98,28.07,overcast clouds
336,Anadyr,RU,64.75,177.4833,-24.43,99,13,4.7,few clouds
337,Algiers,DZ,36.7525,3.042,49.82,93,40,1.14,scattered clouds
338,Port Blair,IN,11.6667,92.75,79.14,80,82,6.06,broken clouds
339,Indore,IN,22.7179,75.8333,57.69,30,2,3.87,clear sky
340,Gazojak,TM,41.1875,61.4036,43.25,87,99,22.12,overcast clouds
341,Rasskazovo,RU,52.6714,41.9033,-3.73,100,87,3.83,overcast clouds
342,Tokur,RU,53.1333,132.9,-15.23,99,100,2.1,overcast clouds
343,Grindavik,IS,63.8424,-22.4338,25.27,86,40,6.91,scattered clouds
344,Kiruna,SE,67.8557,20.2251,22.12,100,100,12.66,overcast clouds
345,Iracoubo,GF,5.4802,-53.2011,78.26,82,57,10.16,broken clouds
